p,q,theta,mu,rhoA0,rhoA,rhoB,rho
100,1500,0.30000000000000004,0.0,0.125,0.13138680366637467,0.0,0.06569340183318734
100,1500,0.30000000000000004,0.0,0.15000000000000002,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.17500000000000002,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.2,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.225,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.25,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.275,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.30000000000000004,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.325,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.35000000000000003,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.375,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.4,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.42500000000000004,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.45,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.47500000000000003,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.5,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.525,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.55,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.5750000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.6000000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.625,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.65,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.675,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.7000000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.7250000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.75,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.775,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.8,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.8250000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.8500000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.875,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.9,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.925,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.9500000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,0.9750000000000001,1.0,0.0,0.5
100,1500,0.30000000000000004,0.0,1.0,1.0,0.0,0.5
100,1500,0.4,0.0,0.0,0.0,0.0,0.0
100,1500,0.4,0.0,0.025,0.025000000089928778,0.0,0.012500000044964389
100,1500,0.4,0.0,0.05,0.05000002839659667,0.0,0.025000014198298334
100,1500,0.4,0.0,0.07500000000000001,0.07500104890872246,0.0,0.03750052445436123
100,1500,0.4,0.0,0.1,0.10001420076124001,0.0,0.050007100380620007
100,1500,0.4,0.0,0.125,0.1251060252258407,0.0,0.06255301261292034
100,1500,0.4,0.0,0.15000000000000002,0.1505368946893371,0.0,0.07526844734466855
100,1500,0.4,0.0,0.17500000000000002,0.17711861980294213,0.0,0.08855930990147107
100,1500,0.4,0.0,0.2,0.20754080995555058,0.0,0.10377040497777529
100,1500,0.4,0.0,0.225,1.0,0.0,0.5
100,1500,0.4,0.0,0.25,1.0,0.0,0.5
